instance,noise,seed,best_legacy,best_v2,flip,regret,true_err_best,true_err_recommended
cycle6,dev_algiers,0,rem,zne_rem,True,0.0269061051269901,0.155762100436327,0.1826682055633171
cycle6,dev_algiers,1,rem,zne,True,0.08060398951247105,0.08199999825772064,0.1626039877701917
cycle6,dev_algiers,2,rem,zne_rem,True,0.10807775821967791,0.03602227394021895,0.14410003215989686
cycle6,dev_algiers,3,rem,zne,True,0.15729773305097883,0.005249998257720101,0.16254773130869893
cycle6,dev_algiers,4,rem,zne_rem,True,0.1145930480283619,0.015482373724114318,0.13007542175247622
cycle6,dev_algiers,5,rem,zne_rem,True,0.12384618237551681,0.011279491281197984,0.1351256736567148
cycle6,dev_algiers,6,rem,zne,True,0.09096624142732068,0.02312500174228127,0.11409124316960195
cycle6,dev_algiers,7,rem,zne,True,0.07080451421430833,0.10974999825771992,0.18055451247202825
cycle6,dev_algiers,8,rem,zne_rem,True,0.06815602445740598,0.09359015066993326,0.16174617512733924
cycle6,dev_algiers,9,rem,zne,True,0.09926024945703471,0.01937499825772271,0.11863524771475742
cycle6,dev_algiers,10,rem,zne,True,0.13442227897212788,0.02837499825772305,0.16279727722985093
cycle6,dev_algiers,11,rem,zne_rem,True,0.058892004104047935,0.08812351396965568,0.1470155180737036
cycle6,dev_algiers,12,rem,zne,True,0.10662034916496488,0.018250001742281974,0.12487035090724685
cycle6,dev_algiers,13,rem,zne_rem,True,0.13313478909672138,0.024639364030746513,0.1577741531274679
cycle6,dev_algiers,14,rem,zne_rem,True,0.11797698600942219,0.04799351661165652,0.1659705026210787
cycle6,dev_algiers,15,rem,zne_rem,True,0.0339729324659217,0.10908124340524772,0.14305417587116942
cycle6,dev_algiers,16,rem,zne,True,0.14077406374921253,0.0029999982577182394,0.14377406200693077
cycle6,dev_algiers,17,rem,zne_rem,True,0.1510391193980931,0.006685276802683049,0.15772439620077616
cycle6,dev_algiers,18,rem,zne,True,0.059079564366106396,0.07274999825772266,0.13182956262382906
cycle6,dev_algiers,19,rem,zne,True,0.1528530636222989,0.0013750017422768934,0.15422806536457578
cycle6,dev_algiers,20,rem,zne_rem,True,0.11910050202707012,0.07664163646473021,0.19574213849180033
cycle6,dev_algiers,21,rem,zne_rem,True,0.12123503009039371,0.05522328104849805,0.17645831113889177
cycle6,dev_algiers,22,rem,zne_rem,True,0.08093939145965567,0.06335275995527567,0.14429215141493135
cycle6,dev_algiers,23,rem,zne,True,0.06975450927066884,0.03687500174227942,0.10662951101294826
cycle6,dev_algiers,24,rem,zne,True,0.11132924039893055,0.026874998257722105,0.13820423865665266
cycle6,dev_algiers,25,rem,zne_rem,True,0.13165517640592483,0.03506287933994123,0.16671805574586607
cycle6,dev_algiers,26,rem,zne_rem,True,0.09564804471790911,0.030666987866508677,0.12631503258441779
cycle6,dev_algiers,27,rem,zne_rem,True,0.1139034521466673,0.05478205397028191,0.1686855061169492
cycle6,dev_algiers,28,rem,zne,True,0.05789021600434019,0.07399999825772152,0.1318902142620617
cycle6,dev_algiers,29,rem,zne,True,0.10671298678957708,0.028499998257720982,0.13521298504729806
cycle6,dev_lagos,0,zne_rem,zne_rem,False,0.0,0.50556287724726,0.50556287724726
cycle6,dev_lagos,1,zne_rem,zne_rem,False,0.0,0.5396810301862494,0.5396810301862494
cycle6,dev_lagos,2,zne_rem,zne,True,0.6540587060691729,0.8777499982577206,1.5318087043268935
cycle6,dev_lagos,3,zne,zne_rem,True,0.5743339092152842,0.33616608904243606,0.9104999982577202
cycle6,dev_lagos,4,zne_rem,zne,True,0.13323017198785614,1.0346249982577205,1.1678551702455766
cycle6,dev_lagos,5,zne,zne_rem,True,0.6574398496894251,0.3364351485682944,0.9938749982577195
cycle6,dev_lagos,6,zne_rem,zne,True,0.12054625008771458,0.9354999982577201,1.0560462483454347
cycle6,dev_lagos,7,zne_rem,rem,True,0.16057536510272064,0.8118587320967992,0.9724340971995198
cycle6,dev_lagos,8,zne_rem,zne_rem,False,0.0,0.8115669222409791,0.8115669222409791
cycle6,dev_lagos,9,zne_rem,zne_rem,False,0.0,0.6269086586272428,0.6269086586272428
cycle6,dev_lagos,10,rem,rem,False,0.0,0.7255263216628451,0.7255263216628451
cycle6,dev_lagos,11,rem,rem,False,0.0,0.739220031891505,0.739220031891505
cycle6,dev_lagos,12,zne_rem,zne_rem,False,0.0,0.49958266033337395,0.49958266033337395
cycle6,dev_lagos,13,zne,zne_rem,True,0.5344682591990351,0.3115317390586867,0.8459999982577218
cycle6,dev_lagos,14,zne,zne,False,0.0,0.8419999982577213,0.8419999982577213
cycle6,dev_lagos,15,rem,rem,False,0.0,0.7471686237916813,0.7471686237916813
cycle6,dev_lagos,16,zne_rem,rem,True,0.3081561954502896,0.6694316679671846,0.9775878634174742
cycle6,dev_lagos,17,rem,zne_rem,True,0.06486973841830235,0.8526619131966133,0.9175316516149157
cycle6,dev_lagos,18,zne_rem,rem,True,0.2741456620455014,0.8851491401010465,1.159294802146548
cycle6,dev_lagos,19,zne_rem,rem,True,0.3056081639934085,1.0213845397193277,1.3269927037127363
cycle6,dev_lagos,20,zne_rem,zne,True,0.14443491647466544,0.8599999982577211,1.0044349147323866
cycle6,dev_lagos,21,zne_rem,rem,True,0.23619585240205643,0.8347662890580336,1.07096214146009
cycle6,dev_lagos,22,zne_rem,zne_rem,False,0.0,0.4523718792962521,0.4523718792962521
cycle6,dev_lagos,23,zne_rem,rem,True,0.24904056566195365,0.9782522591832779,1.2272928248452315
cycle6,dev_lagos,24,zne_rem,zne,True,0.21300888671573315,0.96737499825772,1.1803838849734531
cycle6,dev_lagos,25,rem,zne,True,0.06088152996365581,0.9284999982577209,0.9893815282213767
cycle6,dev_lagos,26,zne_rem,zne_rem,False,0.0,0.5794093324374607,0.5794093324374607
cycle6,dev_lagos,27,zne_rem,rem,True,0.1672198300530754,0.6455185937808818,0.8127384238339572
cycle6,dev_lagos,28,zne_rem,zne,True,0.2891290694288946,0.8858749982577208,1.1750040676866154
cycle6,dev_lagos,29,zne_rem,zne_rem,False,0.0,0.5174256057836382,0.5174256057836382
k33,dev_algiers,0,rem,zne,True,0.18163008691969473,0.02317580557471821,0.20480589249441294
k33,dev_algiers,1,rem,zne_rem,True,0.18608123358991868,0.08838384901937424,0.2744650826092929
k33,dev_algiers,2,rem,zne,True,0.06783551000235022,0.11888669442527533,0.18672220442762555
k33,dev_algiers,3,rem,zne_rem,True,0.19838155148423198,0.034085920757152444,0.23246747224138442
k33,dev_algiers,4,rem,zne,True,0.2546677944538267,0.01361330557472229,0.268281100028549
k33,dev_algiers,5,rem,zne_rem,True,0.07936882575462612,0.20937163818252724,0.28874046393715336
k33,dev_algiers,6,rem,zne_rem,True,0.06445840828930116,0.21370514694551268,0.27816355523481384
k33,dev_algiers,7,rem,zne_rem,True,0.16503031800999235,0.08857297030245537,0.2536032883124477
k33,dev_algiers,8,rem,zne,True,0.16360491540041977,0.03294919442527622,0.196554109825696
k33,dev_algiers,9,rem,zne_rem,True,0.26103336550760226,0.009165368603693658,0.2701987341112959
k33,dev_algiers,10,rem,zne_rem,True,0.17932621987066177,0.004070736383275708,0.18339695625393748
k33,dev_algiers,11,rem,zne_rem,True,0.23369925383972312,0.011729338513494447,0.24542859235321757
k33,dev_algiers,12,rem,zne_rem,True,0.20538726339792301,0.03919307524975668,0.2445803386476797
k33,dev_algiers,13,rem,zne,True,0.16708858992148645,0.048199194425280645,0.2152877843467671
k33,dev_algiers,14,rem,zne_rem,True,0.23534378666716993,0.022633965137520917,0.25797775180469085
k33,dev_algiers,15,rem,zne_rem,True,0.23433363545181063,0.03542945367342032,0.26976308912523095
k33,dev_algiers,16,rem,zne_rem,True,0.24873660987922896,0.02046988486996071,0.2692064947491897
k33,dev_algiers,17,rem,zne_rem,True,0.1845443272005749,0.1047935068218866,0.2893378340224615
k33,dev_algiers,18,rem,zne_rem,True,0.1959100341156308,0.09389002333018137,0.28980005744581216
k33,dev_algiers,19,rem,zne,True,0.15807363872203162,0.06742580557471989,0.2254994442967515
k33,dev_algiers,20,rem,zne,True,0.15630986952862091,0.12073830557471954,0.27704817510334045
k33,dev_algiers,21,rem,zne_rem,True,0.14295561707318427,0.09052630941413398,0.23348192648731825
k33,dev_algiers,22,rem,zne,True,0.1863297154886423,0.049511694425280695,0.235841409913923
