task,noise,budget,method,n_seeds,mean_abs_error,std_abs_error,ci_lo,ci_hi,bias,variance,rmse,mean_circuit_executions,mean_shots,mean_wall_clock_s
qaoa_p1,dev_algiers,1500,none,10,0.2006891324134598,0.028447569272801863,0.18448913241345988,0.21742246574679305,-0.2006891324134598,0.0008092641975308607,0.202495594141317,1.0,1500.0,1.7763366280123591
qaoa_p1,dev_algiers,1500,rem,10,0.10283306123159948,0.043697917793347044,0.07701359081627376,0.12827598580297087,-0.10283306123159948,0.001909508019474116,0.1108746846660165,13.0,1500.0,3.4208959761075675
qaoa_p1,dev_algiers,1500,zne,10,0.9527775342532045,0.449363994997375,0.7167775342532037,1.2365775342532062,0.9527775342532045,0.20192800000000088,1.0438008573370772,3.0,1500.0,4.167222187598236
qaoa_p1,dev_algiers,1500,zne_rem,10,1.0700124022397894,0.5535919143166883,0.7664845993275514,1.4168630899691954,1.0700124022397894,0.3064640075968156,1.191949725359295,15.0,1500.0,5.976930653618183
qaoa_p1,dev_algiers,3000,none,10,0.22205579908012654,0.020041469352997974,0.20952246574679326,0.23258913241345985,-0.22205579908012654,0.000401660493827157,0.22286828475482545,1.0,3000.0,1.3071434976067393
qaoa_p1,dev_algiers,3000,rem,10,0.13715735697702253,0.025707142981074498,0.12148268619571427,0.1514306881095865,-0.13715735697702253,0.0006608572002494078,0.13930869338683377,13.0,3000.0,2.815398758801166
qaoa_p1,dev_algiers,3000,zne,10,0.9727775342532065,0.44970582977467904,0.7353725342532074,1.2592800342532053,0.9727775342532065,0.20223533333333263,1.0622184008704365,3.0,3000.0,4.3768243958009405
qaoa_p1,dev_algiers,3000,zne_rem,10,1.0900443013699905,0.5049625931601668,0.8190691200610254,1.406851134791331,1.0900443013699905,0.2549872204910401,1.190665812640611,15.0,3000.0,6.3636855177814144
qaoa_p1,dev_algiers,6000,none,10,0.2075557990801265,0.00979795897113273,0.2018553824134598,0.21328913241345981,-0.2075557990801265,9.600000000000035e-05,0.20776383162569426,1.0,6000.0,1.1984583158977329
qaoa_p1,dev_algiers,6000,rem,10,0.17545661919934305,0.021543491058633343,0.1637322544540998,0.18892622878752743,-0.17545661919934305,0.00046412200699341477,0.1766429591779909,13.0,6000.0,2.4328984417836184
qaoa_p1,dev_algiers,6000,zne,10,0.9613275342532072,0.425890925655333,0.7378775342532077,1.235381284253209,0.9613275342532072,0.18138308055555635,1.0427825279574605,3.0,6000.0,4.381161109998357
qaoa_p1,dev_algiers,6000,zne_rem,10,1.0723751544528792,0.4470363455983009,0.8350258464133982,1.3512158494315136,1.0723751544528792,0.19984149428588352,1.1531894106109075,15.0,6000.0,5.910557132121175
qaoa_p1,dev_algiers,12000,none,10,0.20504746574679303,0.008402899448154987,0.20000538241345955,0.20984746574679303,-0.20504746574679303,7.06087191358034e-05,0.2052023661082018,1.0,12000.0,1.3200601201155222
qaoa_p1,dev_algiers,12000,rem,10,0.16689250221328553,0.007033494291935062,0.16279955475706634,0.1710618168175719,-0.16689250221328553,4.947004195468309e-05,0.1670258373209688,13.0,12000.0,3.310694834392052
qaoa_p1,dev_algiers,12000,zne,10,0.9870025342532062,0.4534712787977238,0.7500987842532065,1.2779044092532057,0.9870025342532062,0.20563620069444294,1.076683139668886,3.0,12000.0,4.102653911686502
qaoa_p1,dev_algiers,12000,zne_rem,10,1.0379689812878443,0.4792845472144354,0.7867582515895368,1.3456715636004262,1.0379689812878443,0.22971367719854635,1.13319103225997,15.0,12000.0,5.889602422900498
qaoa_p1,dev_algiers,24000,none,10,0.20190996574679324,0.009284787147616358,0.19639329908012665,0.20735173658012654,-0.20190996574679324,8.62072723765419e-05,0.20210200595988675,1.0,24000.0,1.3700363066280261
qaoa_p1,dev_algiers,24000,rem,10,0.15818789675944123,0.004210675676347985,0.15556687768783822,0.1605381216537675,-0.15818789675944123,1.772978965138856e-05,0.15823832497805923,13.0,24000.0,2.9137257636291904
qaoa_p1,dev_algiers,24000,zne,10,1.0073400342532064,0.4549500821595102,0.775025971753206,1.296518159253207,1.0073400342532064,0.20697957725694507,1.095908556468331,3.0,24000.0,4.9140485906042155
qaoa_p1,dev_algiers,24000,zne_rem,10,1.0802440093244037,0.4758180516028642,0.8342081502395101,1.385982285019566,1.0802440093244037,0.22640281823114597,1.1707645604857084,15.0,24000.0,6.983213913114741
qaoa_p1,dev_lagos,1500,none,10,1.0010891324134596,0.06216489422555211,0.9635557990801263,1.0364224657467929,-1.0010891324134596,0.003864474074074082,1.0028247492473448,1.0,1500.0,0.6687335820985026
qaoa_p1,dev_lagos,1500,rem,10,1.248450197661222,0.44700617832935247,0.9750030022425424,1.4998357819117378,-1.248450197661222,0.19981452346461287,1.3185070978794522,13.0,1500.0,1.154603462421801
qaoa_p1,dev_lagos,1500,zne,10,0.556022465746795,0.15546403657009134,0.4616224657467945,0.6442274657467966,-0.556022465746795,0.024169066666666697,0.5752505040546647,3.0,1500.0,2.04371830788441
qaoa_p1,dev_lagos,1500,zne_rem,10,1.4128873945171982,0.9565351269755307,0.8593594498293889,1.9713294347710373,-1.163757070175215,1.6282041949189798,1.679200492439745,15.0,1500.0,2.691877481911797
qaoa_p1,dev_lagos,3000,none,10,0.9926557990801264,0.04211479022333554,0.9702216324134597,1.019989965746793,-0.9926557990801264,0.0017736555555555584,0.9934595238093017,1.0,3000.0,0.8252750426065176
qaoa_p1,dev_lagos,3000,rem,10,0.5150196074121276,0.22590507923210087,0.3853848072212576,0.6491336671415916,-0.5150196074121276,0.051033104822861775,0.5578306108125634,13.0,3000.0,1.6113467743736691
